model,panel_mean
deepseek-ai/DeepSeek-V4-Flash,46.358024691358025
qwen/qwen3.5-397b-a17b,43.333333333333336
mistralai/mistral-large-2512,41.72839506172839
mistralai/Mistral-Medium-3.5-128B,41.72839506172839
openai/gpt-5-mini,38.333333333333336
deepseek/deepseek-v3.2,38.148148148148145
google/gemini-2.5-flash-lite,36.666666666666664
anthropic/claude-haiku-4.5,36.2962962962963
deepseek/deepseek-r1-0528,35.80246913580247
qwen/qwen3.5-122b-a10b,34.93827160493827
RedHatAI/gemma-4-31B-it-FP8-block,34.5679012345679
Qwen/Qwen3.6-35B-A3B-FP8,32.34567901234568
qwen3-next-80b-a3b-instruct,31.604938271604937
qwen/qwen3-235b-a22b-thinking-2507,30.74074074074074
deepseek/deepseek-chat-v3-0324,28.88888888888889
openai/gpt-oss-120b,28.51851851851852
meta-llama/llama-4-maverick,24.814814814814813
openai/gpt-5-nano,23.45679012345679
GaleneAI/Magistral-Small-2509-FP8-Dynamic,23.02469135802469
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-FP8,22.839506172839506
openai/gpt-4o-mini-2024-07-18,21.234567901234566
windprak/open_steuerllm,19.567901234567902
meta-llama/llama-3.3-70b-instruct,17.22222222222222
qwen/qwen3-32b,10.987654320987655
utter-project/EuroLLM-22B-Instruct-2512,9.753086419753087
mistralai/Ministral-3-14B-Reasoning-2512,8.148148148148149
ibm-granite/granite-4.1-3b,7.530864197530864
Microsoft/Phi-4-mini-instruct,4.567901234567901
meta-llama/llama-3.1-8b-instruct,4.444444444444445
mistralai/mistral-small-3.1-24b-instruct,0.0
