scope,condition,tier,coef,se,p,cluster,perm_p,n_models
pooled,both,vendor,1.2069951631230538,1.4818899926031428,0.4153602090673192,generator,0.5087456271864068,11
pooled,both,family*,4.508593302681504,1.1704024040548648,0.00011707394926191829,generator,0.2717842323651452,1
pooled,both,self,9.942701843223464,3.778271603376763,0.008499694156533304,generator,0.0009995002498750624,3
pooled,no_rag,vendor,1.2069951631230538,1.4818899926031428,0.4153602090673192,generator,0.5087456271864068,11
pooled,no_rag,family*,4.508593302681504,1.1704024040548648,0.00011707394926191829,generator,0.2717842323651452,1
pooled,no_rag,self,9.942701843223464,3.778271603376763,0.008499694156533304,generator,0.0009995002498750624,3
judge:gpt-oss-120b,no_rag,vendor,-0.638417813192297,1.0364145333396984,0.5379031417970332,case,,3
judge:gpt-oss-120b,no_rag,self,18.24353092453245,1.9878155015183556,4.4048624936704815e-20,case,,1
judge:qwen3.6-35b-a3b,no_rag,vendor,1.9262821431679351,0.8327868008819693,0.020719584414438802,case,,5
judge:qwen3.6-35b-a3b,no_rag,self,6.198675658617486,1.6234525007494465,0.00013442579920150887,case,,1
judge:DeepSeek-V4-Flash-0731,no_rag,vendor,1.8114485238872542,1.049591935039128,0.08437263894592285,case,,3
judge:DeepSeek-V4-Flash-0731,no_rag,family*,4.062153765059082,1.771911877151541,0.021875318205307408,case,,1
judge:DeepSeek-V4-Flash-0731,no_rag,self,5.105938199363214,1.6893009025614845,0.002506832261469657,case,,1
