model,n,mean,hi,lo,bc
claude-opus-5,81,76.41975308641975,51.85185185185185,13.580246913580247,0.637785697053114
gemini-3.7-flash,81,67.09876543209876,16.049382716049383,12.345679012345679,0.49676924623984764
DeepSeek-V4-Flash,81,44.44444444444444,0.0,56.79012345679012,0.4186258561686578
DeepSeek-V4-Flash-0731,81,43.76543209876543,0.0,56.79012345679012,0.3967834375712986
qwen3.5-397b-a17b,81,41.48148148148148,0.0,62.96296296296296,0.40617129840578975
mistral-large-2512,81,37.839506172839506,0.0,74.07407407407408,0.3547770403985028
Mistral-Medium-3.5-128B,81,37.407407407407405,0.0,75.30864197530865,0.3281698652364989
deepseek-v3.2,81,36.79012345679013,0.0,77.77777777777779,0.3585331675980117
gemini-2.5-flash-lite,81,35.18518518518518,0.0,80.24691358024691,0.472984198596831
claude-haiku-4.5,81,34.81481481481482,0.0,87.65432098765432,0.3739266797230273
gpt-5-mini,81,34.81481481481482,0.0,87.65432098765432,0.2776286003534611
deepseek-r1-0528,81,33.20987654320987,0.0,88.88888888888889,0.3701222216589999
qwen3.5-122b-a10b,81,32.96296296296296,0.0,88.88888888888889,0.3575756112618082
gemma-4-31B-it-FP8-block,81,32.901234567901234,0.0,92.5925925925926,0.32013449672460326
qwen3-235b-a22b-thinking-2507,81,31.11111111111111,0.0,92.5925925925926,0.322210244969218
Qwen3.6-35B-A3B-FP8,81,30.617283950617285,0.0,93.82716049382715,0.35852976887416876
qwen3-next-80b-a3b-instruct,81,30.617283950617285,0.0,97.53086419753086,0.3597231547790915
gpt-oss-120b,81,29.753086419753085,0.0,97.53086419753086,0.36139686548358224
deepseek-chat-v3-0324,81,26.358024691358025,0.0,100.0,0.4289632223374811
soofi-s-isar-preview,81,26.11111111111111,0.0,97.53086419753086,0.3116857819738844
llama-4-maverick,81,24.444444444444443,0.0,100.0,0.489264438765814
Magistral-Small-2509-FP8-Dynamic,81,23.333333333333332,0.0,100.0,0.43405997574495475
Mistral-Small-3.2-24B-Instruct-2506-FP8,81,21.97530864197531,0.0,100.0,0.33291510232589094
gpt-5-nano,81,21.48148148148148,0.0,100.0,0.2563441603196319
gpt-4o-mini-2024-07-18,81,19.506172839506174,0.0,100.0,0.32458877887909926
open_steuerllm,81,17.77777777777778,0.0,100.0,0.35168141288839616
llama-3.3-70b-instruct,81,16.790123456790123,0.0,100.0,0.4043258174825612
qwen3-32b,81,13.209876543209877,0.0,100.0,0.36204651637405133
EuroLLM-22B-Instruct-2512,81,9.25925925925926,0.0,100.0,0.44048237408883323
Ministral-3-14B-Reasoning-2512,81,8.765432098765432,0.0,100.0,0.44001900368196145
granite-4.1-3b,81,7.530864197530864,0.0,100.0,0.37782133705436566
Phi-4-mini-instruct,81,5.432098765432099,0.0,100.0,0.5920203981315105
llama-3.1-8b-instruct,81,4.814814814814815,0.0,100.0,0.6142976036738466
mistral-small-3.1-24b-instruct,81,0.0,0.0,100.0,
