level,pair,n,clusters,measure,coef,lo,hi,p
Model,GPT-oss-120b / Qwen3.6-35B,32,,Spearman rho,0.9531665331939471,0.836611021343717,0.9930148021338796,3.968892440102611e-17
Model,GPT-oss-120b / Qwen3.6-35B,32,,QWK kappa_w,0.9174580160676569,0.8710123429245412,0.939040955090241,9.999000099990002e-05
Model,GPT-oss-120b / DS-V4-Flash,32,,Spearman rho,0.9472912314069005,0.8241289329560656,0.9936496286444733,2.246179807154794e-16
Model,GPT-oss-120b / DS-V4-Flash,32,,QWK kappa_w,0.921333502741825,0.7857359126640823,0.9646752933537335,9.999000099990002e-05
Model,Qwen3.6-35B / DS-V4-Flash,32,,Spearman rho,0.9941338388856723,0.9754340809774948,0.998896720580924,1.526792341405042e-30
Model,Qwen3.6-35B / DS-V4-Flash,32,,QWK kappa_w,0.8174627056133814,0.62632724146589,0.8877443994256674,9.999000099990002e-05
Essay,GPT-oss-120b / Qwen3.6-35B,2591,32.0,Spearman rho,0.805865411363091,0.7102896362195501,0.8613830484090891,
Essay,GPT-oss-120b / Qwen3.6-35B,2591,32.0,QWK kappa_w,0.7962498500623999,0.7076199462103088,0.8358265831704458,
Essay,GPT-oss-120b / DS-V4-Flash,2591,32.0,Spearman rho,0.7759569544155609,0.6803314985836464,0.8386407283095175,
Essay,GPT-oss-120b / DS-V4-Flash,2591,32.0,QWK kappa_w,0.7902150041754034,0.6387315168811519,0.8623196757427043,
Essay,Qwen3.6-35B / DS-V4-Flash,2592,32.0,Spearman rho,0.8065985613325437,0.7125404846572861,0.8652448854617496,
Essay,Qwen3.6-35B / DS-V4-Flash,2592,32.0,QWK kappa_w,0.7480464720572314,0.586911674960797,0.8218936702575037,
