index,rank,short,med
0,22,qwen3.5-397b-a17b,50.0
1,55,qwen3.5-397b-a17b,50.0
2,13,qwen3.5-397b-a17b,40.0
3,7,qwen3.5-397b-a17b,50.0
4,76,qwen3.5-397b-a17b,30.0
5,42,qwen3.5-397b-a17b,30.0
6,75,qwen3.5-397b-a17b,40.0
7,56,qwen3.5-397b-a17b,30.0
8,43,qwen3.5-397b-a17b,40.0
9,32,qwen3.5-397b-a17b,50.0
10,52,qwen3.5-397b-a17b,30.0
11,57,qwen3.5-397b-a17b,50.0
12,1,qwen3.5-397b-a17b,70.0
13,47,qwen3.5-397b-a17b,40.0
14,74,qwen3.5-397b-a17b,20.0
15,28,qwen3.5-397b-a17b,50.0
16,16,qwen3.5-397b-a17b,50.0
17,25,qwen3.5-397b-a17b,40.0
18,61,qwen3.5-397b-a17b,30.0
19,26,qwen3.5-397b-a17b,50.0
20,50,qwen3.5-397b-a17b,30.0
21,30,qwen3.5-397b-a17b,40.0
22,51,qwen3.5-397b-a17b,30.0
23,19,qwen3.5-397b-a17b,50.0
24,79,qwen3.5-397b-a17b,30.0
25,37,qwen3.5-397b-a17b,80.0
26,33,qwen3.5-397b-a17b,40.0
27,81,qwen3.5-397b-a17b,40.0
28,77,qwen3.5-397b-a17b,30.0
29,6,qwen3.5-397b-a17b,60.0
30,15,qwen3.5-397b-a17b,50.0
31,60,qwen3.5-397b-a17b,20.0
32,31,qwen3.5-397b-a17b,50.0
33,67,qwen3.5-397b-a17b,30.0
34,54,qwen3.5-397b-a17b,30.0
35,2,qwen3.5-397b-a17b,60.0
36,20,qwen3.5-397b-a17b,40.0
37,59,qwen3.5-397b-a17b,30.0
38,24,qwen3.5-397b-a17b,20.0
39,11,qwen3.5-397b-a17b,40.0
40,17,qwen3.5-397b-a17b,40.0
41,49,qwen3.5-397b-a17b,30.0
42,65,qwen3.5-397b-a17b,40.0
43,53,qwen3.5-397b-a17b,30.0
44,14,qwen3.5-397b-a17b,50.0
45,36,qwen3.5-397b-a17b,50.0
46,4,qwen3.5-397b-a17b,70.0
47,72,qwen3.5-397b-a17b,30.0
48,9,qwen3.5-397b-a17b,50.0
49,10,qwen3.5-397b-a17b,70.0
50,41,qwen3.5-397b-a17b,40.0
51,18,qwen3.5-397b-a17b,30.0
52,80,qwen3.5-397b-a17b,20.0
53,39,qwen3.5-397b-a17b,40.0
54,35,qwen3.5-397b-a17b,40.0
55,34,qwen3.5-397b-a17b,50.0
56,58,qwen3.5-397b-a17b,30.0
57,44,qwen3.5-397b-a17b,50.0
58,8,qwen3.5-397b-a17b,50.0
59,48,qwen3.5-397b-a17b,40.0
60,66,qwen3.5-397b-a17b,30.0
61,29,qwen3.5-397b-a17b,40.0
62,64,qwen3.5-397b-a17b,40.0
63,71,qwen3.5-397b-a17b,30.0
64,21,qwen3.5-397b-a17b,40.0
65,68,qwen3.5-397b-a17b,20.0
66,70,qwen3.5-397b-a17b,20.0
67,38,qwen3.5-397b-a17b,30.0
