index,short,judge,ref
0,Qwen3.6-35B-A3B-FP8,50.0,18.75
1,Qwen3.6-35B-A3B-FP8,20.0,20.0
2,Qwen3.6-35B-A3B-FP8,40.0,18.18181818181818
3,Qwen3.6-35B-A3B-FP8,30.0,28.57142857142857
4,Qwen3.6-35B-A3B-FP8,20.0,14.814814814814811
5,Qwen3.6-35B-A3B-FP8,50.0,17.24137931034483
6,Qwen3.6-35B-A3B-FP8,20.0,15.686274509803921
8,Qwen3.6-35B-A3B-FP8,30.0,20.0
9,Qwen3.6-35B-A3B-FP8,50.0,7.14285714285714
10,Qwen3.6-35B-A3B-FP8,20.0,16.66666666666666
11,Qwen3.6-35B-A3B-FP8,40.0,9.09090909090909
12,Qwen3.6-35B-A3B-FP8,60.0,10.0
13,Qwen3.6-35B-A3B-FP8,30.0,7.4074074074074
14,Qwen3.6-35B-A3B-FP8,30.0,13.79310344827586
15,Qwen3.6-35B-A3B-FP8,30.0,32.0
16,Qwen3.6-35B-A3B-FP8,20.0,27.27272727272727
17,Qwen3.6-35B-A3B-FP8,30.0,16.66666666666666
18,Qwen3.6-35B-A3B-FP8,20.0,2.1276595744680797
19,Qwen3.6-35B-A3B-FP8,30.0,26.08695652173913
20,Qwen3.6-35B-A3B-FP8,40.0,13.33333333333333
21,Qwen3.6-35B-A3B-FP8,30.0,20.83333333333333
22,Qwen3.6-35B-A3B-FP8,20.0,8.57142857142857
23,Qwen3.6-35B-A3B-FP8,20.0,9.52380952380952
24,Qwen3.6-35B-A3B-FP8,30.0,5.26315789473684
25,Qwen3.6-35B-A3B-FP8,20.0,10.0
26,Qwen3.6-35B-A3B-FP8,30.0,8.695652173913041
27,Qwen3.6-35B-A3B-FP8,30.0,11.62790697674418
28,Qwen3.6-35B-A3B-FP8,20.0,13.04347826086956
29,Qwen3.6-35B-A3B-FP8,40.0,35.71428571428571
30,Qwen3.6-35B-A3B-FP8,40.0,5.88235294117647
31,Qwen3.6-35B-A3B-FP8,40.0,6.25
32,Qwen3.6-35B-A3B-FP8,40.0,10.71428571428571
33,Qwen3.6-35B-A3B-FP8,30.0,12.5
34,Qwen3.6-35B-A3B-FP8,30.0,8.0
35,Qwen3.6-35B-A3B-FP8,40.0,13.33333333333333
36,Qwen3.6-35B-A3B-FP8,30.0,6.25
37,Qwen3.6-35B-A3B-FP8,20.0,32.0
38,Qwen3.6-35B-A3B-FP8,30.0,7.4074074074074
39,Qwen3.6-35B-A3B-FP8,30.0,25.0
40,Qwen3.6-35B-A3B-FP8,30.0,15.909090909090908
41,Qwen3.6-35B-A3B-FP8,30.0,25.0
42,Qwen3.6-35B-A3B-FP8,20.0,24.137931034482758
43,Qwen3.6-35B-A3B-FP8,30.0,10.6060606060606
44,Qwen3.6-35B-A3B-FP8,40.0,40.0
45,Qwen3.6-35B-A3B-FP8,30.0,9.09090909090909
46,Qwen3.6-35B-A3B-FP8,30.0,26.08695652173913
47,Qwen3.6-35B-A3B-FP8,20.0,12.19512195121951
48,Qwen3.6-35B-A3B-FP8,30.0,28.57142857142857
49,Qwen3.6-35B-A3B-FP8,30.0,25.71428571428571
50,Qwen3.6-35B-A3B-FP8,30.0,17.07317073170731
51,Qwen3.6-35B-A3B-FP8,30.0,18.75
52,Qwen3.6-35B-A3B-FP8,20.0,0.0
53,Qwen3.6-35B-A3B-FP8,40.0,11.62790697674418
54,Qwen3.6-35B-A3B-FP8,30.0,14.583333333333329
55,Qwen3.6-35B-A3B-FP8,40.0,26.31578947368421
56,Qwen3.6-35B-A3B-FP8,30.0,17.94871794871795
57,Qwen3.6-35B-A3B-FP8,20.0,0.0
58,Qwen3.6-35B-A3B-FP8,40.0,14.89361702127659
59,Qwen3.6-35B-A3B-FP8,30.0,18.51851851851851
60,Qwen3.6-35B-A3B-FP8,30.0,9.67741935483871
61,Qwen3.6-35B-A3B-FP8,30.0,6.66666666666666
62,Qwen3.6-35B-A3B-FP8,30.0,18.18181818181818
63,Qwen3.6-35B-A3B-FP8,30.0,0.0
64,Qwen3.6-35B-A3B-FP8,20.0,14.28571428571428
65,Qwen3.6-35B-A3B-FP8,20.0,6.8181818181818095
66,Qwen3.6-35B-A3B-FP8,20.0,9.09090909090909
67,Qwen3.6-35B-A3B-FP8,30.0,20.0
68,Qwen3.6-35B-A3B-FP8,40.0,11.11111111111111
69,Qwen3.6-35B-A3B-FP8,20.0,0.0
70,Qwen3.6-35B-A3B-FP8,30.0,7.89473684210526
71,Qwen3.6-35B-A3B-FP8,20.0,7.14285714285714
72,Qwen3.6-35B-A3B-FP8,30.0,26.31578947368421
73,Qwen3.6-35B-A3B-FP8,40.0,15.09433962264151
74,Qwen3.6-35B-A3B-FP8,30.0,23.52941176470588
75,Qwen3.6-35B-A3B-FP8,40.0,19.6078431372549
76,Qwen3.6-35B-A3B-FP8,50.0,11.76470588235294
77,Qwen3.6-35B-A3B-FP8,30.0,25.0
78,Qwen3.6-35B-A3B-FP8,10.0,16.66666666666666
79,Qwen3.6-35B-A3B-FP8,30.0,4.0
80,Qwen3.6-35B-A3B-FP8,40.0,23.52941176470588
0,deepseek-r1-0528,30.0,9.09090909090909
1,deepseek-r1-0528,40.0,15.78947368421052
2,deepseek-r1-0528,40.0,31.25
3,deepseek-r1-0528,30.0,23.8095238095238
