scope,condition,tier,coef,se,p,cluster,perm_p,n_models
pooled,both,vendor,5.495762917620443,2.561914792560108,0.031938628291290794,generator,0.015492253873063468,10
pooled,both,family*,9.454340972243612,1.0506783104200366,2.29195309473158e-19,generator,0.07646176911544228,1
pooled,both,self,9.56260521519823,1.6667829380808272,9.627565438846262e-09,generator,0.004497751124437781,3
pooled,no_rag,vendor,5.7317161701278465,2.3948474629955707,0.016695154478862988,generator,0.015492253873063468,10
pooled,no_rag,family*,9.75086301919436,1.1859573914724484,2.0024792109196602e-16,generator,0.07646176911544228,1
pooled,no_rag,self,9.029859881998592,1.6222908888137761,2.604793172158395e-08,generator,0.004497751124437781,3
pooled,law_rag,vendor,5.1726777524178225,2.9142508795928195,0.07590454811188188,generator,0.015492253873063468,10
pooled,law_rag,family*,9.266311982650727,1.1203597752200827,1.330229058886995e-16,generator,0.07646176911544228,1
pooled,law_rag,self,10.084240605112868,2.1349591245429917,2.319475634379876e-06,generator,0.004497751124437781,3
judge:gpt-5-nano,no_rag,vendor,11.73486660748905,1.639056290943125,8.095631843319871e-13,case,,2
judge:gpt-5-nano,no_rag,family*,10.094634087064769,2.1927554070835296,4.151902682342799e-06,case,,1
judge:gpt-5-nano,no_rag,self,9.861731461974395,2.1615051150760958,5.056320704071392e-06,case,,1
judge:gpt-5-nano,law_rag,vendor,8.078101459062086,1.7976448417722113,6.999167681472505e-06,case,,2
judge:gpt-5-nano,law_rag,family*,9.506320017550191,2.422269437599171,8.68916393622714e-05,case,,1
judge:gpt-5-nano,law_rag,self,13.922175312727537,2.2456053515547816,5.655555415252516e-10,case,,1
judge:qwen3.6-35b-a3b,no_rag,vendor,4.889350877806895,0.9265808772926181,1.3148328994036624e-07,case,,5
judge:qwen3.6-35b-a3b,no_rag,self,10.963447253831019,1.7035925676449455,1.2307833443847276e-10,case,,1
judge:qwen3.6-35b-a3b,law_rag,vendor,4.3964525162413075,0.9980781822988337,1.0582391696094665e-05,case,,5
judge:qwen3.6-35b-a3b,law_rag,self,6.893903004833741,2.2643870731549263,0.002330754509467831,case,,1
judge:DeepSeek-V4-Flash,no_rag,vendor,2.9145094848699866,1.3644596154782798,0.0326779953097791,case,,3
judge:DeepSeek-V4-Flash,no_rag,self,6.225629649962201,2.0762097266007378,0.0027126293587532496,case,,1
judge:DeepSeek-V4-Flash,law_rag,vendor,4.4189734453052445,1.3299387748023654,0.0008915413006943677,case,,3
judge:DeepSeek-V4-Flash,law_rag,self,9.56994692173986,2.0924895286463,4.797027186733569e-06,case,,1
