model,index,no_rag,dense,bm25,roundrobin,rrf,rerank,cite_only,cite_rrf,rrf50,cite_rrf50,cite_ls_rrf50,oracle,ls_text
DeepSeek-V4-Flash,0,16.9811320754717,30.18867924528302,30.18867924528302,28.30188679245283,28.30188679245283,0.0,26.41509433962264,22.641509433962263,28.30188679245283,26.41509433962264,32.075471698113205,47.16981132075472,
DeepSeek-V4-Flash,1,22.22222222222222,33.33333333333333,30.55555555555556,25.0,27.77777777777778,33.33333333333333,33.33333333333333,30.55555555555556,27.77777777777778,38.88888888888889,30.55555555555556,41.66666666666667,
DeepSeek-V4-Flash,2,42.42424242424242,42.42424242424242,36.36363636363637,36.36363636363637,42.42424242424242,33.33333333333333,36.36363636363637,33.33333333333333,33.33333333333333,36.36363636363637,33.33333333333333,54.54545454545454,
DeepSeek-V4-Flash,3,31.818181818181817,29.545454545454547,38.63636363636363,40.909090909090914,34.090909090909086,40.909090909090914,29.545454545454547,18.181818181818183,27.27272727272727,22.727272727272727,36.36363636363637,56.81818181818182,
DeepSeek-V4-Flash,4,11.363636363636363,18.181818181818183,15.909090909090908,25.0,20.454545454545457,13.636363636363637,15.909090909090908,18.181818181818183,27.27272727272727,29.545454545454547,15.909090909090908,36.36363636363637,
DeepSeek-V4-Flash,5,37.03703703703704,31.48148148148148,25.925925925925924,37.03703703703704,22.22222222222222,29.629629629629623,37.03703703703704,35.18518518518518,38.88888888888889,44.44444444444444,29.629629629629623,46.2962962962963,
DeepSeek-V4-Flash,6,20.0,12.307692307692308,20.0,20.0,16.923076923076923,15.384615384615383,13.846153846153848,13.846153846153848,23.07692307692308,16.923076923076923,12.307692307692308,35.38461538461539,
DeepSeek-V4-Flash,7,20.454545454545457,34.090909090909086,27.27272727272727,25.0,27.27272727272727,27.27272727272727,22.727272727272727,22.727272727272727,22.727272727272727,20.454545454545457,25.0,25.0,
DeepSeek-V4-Flash,8,18.64406779661017,16.94915254237288,25.42372881355932,20.33898305084746,18.64406779661017,22.033898305084744,18.64406779661017,18.64406779661017,25.42372881355932,22.033898305084744,27.11864406779661,33.89830508474576,
DeepSeek-V4-Flash,9,28.205128205128204,33.33333333333333,23.07692307692308,17.94871794871795,20.51282051282051,28.205128205128204,17.94871794871795,23.07692307692308,28.205128205128204,33.33333333333333,28.205128205128204,38.46153846153847,
DeepSeek-V4-Flash,10,29.166666666666668,25.0,29.166666666666668,29.166666666666668,33.33333333333333,41.66666666666667,41.66666666666667,25.0,25.0,33.33333333333333,29.166666666666668,45.83333333333333,
DeepSeek-V4-Flash,11,8.928571428571429,23.214285714285715,28.57142857142857,23.214285714285715,21.428571428571427,19.642857142857142,21.428571428571427,23.214285714285715,25.0,25.0,17.857142857142858,30.35714285714285,
DeepSeek-V4-Flash,12,34.48275862068966,27.58620689655172,27.58620689655172,27.58620689655172,27.58620689655172,27.58620689655172,27.58620689655172,37.93103448275862,31.03448275862069,34.48275862068966,41.37931034482759,41.37931034482759,
DeepSeek-V4-Flash,13,20.967741935483872,20.967741935483872,25.806451612903224,0.0,22.58064516129032,17.741935483870968,19.35483870967742,20.967741935483872,20.967741935483872,27.41935483870968,24.193548387096776,29.03225806451613,
DeepSeek-V4-Flash,14,24.489795918367346,20.40816326530612,26.53061224489796,16.3265306122449,32.6530612244898,24.489795918367346,26.53061224489796,26.53061224489796,20.40816326530612,22.448979591836736,22.448979591836736,34.69387755102041,
DeepSeek-V4-Flash,15,35.18518518518518,37.03703703703704,29.629629629629623,22.22222222222222,37.03703703703704,27.77777777777778,29.629629629629623,40.74074074074074,35.18518518518518,31.48148148148148,33.33333333333333,48.14814814814815,
DeepSeek-V4-Flash,16,33.33333333333333,36.36363636363637,33.33333333333333,42.42424242424242,39.39393939393939,24.24242424242424,36.36363636363637,39.39393939393939,33.33333333333333,36.36363636363637,36.36363636363637,39.39393939393939,
DeepSeek-V4-Flash,17,16.666666666666664,22.916666666666664,29.166666666666668,22.916666666666664,20.833333333333336,33.33333333333333,22.916666666666664,22.916666666666664,22.916666666666664,27.08333333333333,39.58333333333333,45.83333333333333,
DeepSeek-V4-Flash,18,18.33333333333333,6.666666666666667,13.333333333333334,16.666666666666664,25.0,18.33333333333333,15.0,10.0,10.0,13.333333333333334,21.666666666666668,33.33333333333333,
DeepSeek-V4-Flash,19,30.95238095238096,30.95238095238096,38.095238095238095,28.57142857142857,26.1904761904762,28.57142857142857,30.95238095238096,28.57142857142857,33.33333333333333,35.714285714285715,35.714285714285715,64.28571428571429,
DeepSeek-V4-Flash,20,24.324324324324326,24.324324324324326,24.324324324324326,40.54054054054054,32.432432432432435,37.83783783783784,24.324324324324326,24.324324324324326,27.027027027027028,32.432432432432435,37.83783783783784,48.64864864864865,
DeepSeek-V4-Flash,21,30.76923076923077,26.923076923076923,36.53846153846153,26.923076923076923,32.69230769230769,30.76923076923077,34.61538461538461,30.76923076923077,36.53846153846153,36.53846153846153,30.76923076923077,55.76923076923077,
DeepSeek-V4-Flash,22,26.15384615384616,23.07692307692308,15.384615384615383,21.53846153846154,16.923076923076923,24.615384615384617,23.07692307692308,21.53846153846154,24.615384615384617,26.15384615384616,23.07692307692308,40.0,
DeepSeek-V4-Flash,23,31.91489361702128,42.5531914893617,38.297872340425535,36.17021276595745,40.42553191489361,36.17021276595745,29.78723404255319,19.148936170212767,34.04255319148936,34.04255319148936,29.78723404255319,48.93617021276596,
