config,corpus,mode,query,merge,drop_structural,rerank,gold_set,k,recall,cases_with_hit,state_recall,hits,gold,structural,seconds,fusion_w,cite_filter,state_share,pool,two_hop,ls_depth,ls_kinds
baseline,combined,hybrid,rewriter,roundrobin,True,,refex,5,0.015466983938132,0.2857142857142857,0.0,26,1681,0.0,70.1,,,,,,,
baseline,combined,hybrid,rewriter,roundrobin,True,,refex,10,0.0226055919095776,0.3896103896103896,0.0,38,1681,0.0,70.1,,,,,,,
baseline,combined,hybrid,rewriter,roundrobin,True,,refex,20,0.032123735871505,0.4935064935064935,0.0,54,1681,0.0,70.1,,,,,,,
baseline,combined,hybrid,rewriter,roundrobin,True,,refex,50,0.0600832837596668,0.6623376623376623,0.0,101,1681,0.0,70.1,,,,,,,
baseline,combined,hybrid,rewriter,roundrobin,True,,refex,100,0.0850684116597263,0.7272727272727273,0.0,143,1681,0.0,70.1,,,,,,,
baseline,combined,hybrid,rewriter,roundrobin,True,,gold,5,0.0178486435030937,0.6419753086419753,0.0276752767527675,75,4202,0.0,70.1,,,,,,,
baseline,combined,hybrid,rewriter,roundrobin,True,,gold,10,0.0264159923845787,0.7654320987654321,0.035670356703567,111,4202,0.0,70.1,,,,,,,
baseline,combined,hybrid,rewriter,roundrobin,True,,gold,20,0.0421227986673012,0.8765432098765432,0.0608856088560885,177,4202,0.0,70.1,,,,,,,
baseline,combined,hybrid,rewriter,roundrobin,True,,gold,50,0.0690147548786292,0.9753086419753086,0.092250922509225,290,4202,0.0,70.1,,,,,,,
baseline,combined,hybrid,rewriter,roundrobin,True,,gold,100,0.0990004759638267,0.9753086419753086,0.1291512915129151,416,4202,0.0,70.1,,,,,,,
corpus_federal,federal,hybrid,rewriter,roundrobin,True,,refex,5,0.0160618679357525,0.2987012987012987,0.0,27,1681,0.0,61.5,,,,,,,
corpus_federal,federal,hybrid,rewriter,roundrobin,True,,refex,10,0.0237953599048185,0.4025974025974026,0.0,40,1681,0.0,61.5,,,,,,,
corpus_federal,federal,hybrid,rewriter,roundrobin,True,,refex,20,0.0374776918500892,0.5454545454545454,0.0,63,1681,0.0,61.5,,,,,,,
corpus_federal,federal,hybrid,rewriter,roundrobin,True,,refex,50,0.0696014277215942,0.7012987012987013,0.0,117,1681,0.0,61.5,,,,,,,
corpus_federal,federal,hybrid,rewriter,roundrobin,True,,refex,100,0.0969660916121356,0.7792207792207793,0.0,163,1681,0.0,61.5,,,,,,,
corpus_federal,federal,hybrid,rewriter,roundrobin,True,,gold,5,0.008567348881485,0.3580246913580246,0.0,36,4202,0.0,61.5,,,,,,,
corpus_federal,federal,hybrid,rewriter,roundrobin,True,,gold,10,0.0138029509757258,0.5185185185185185,0.0,58,4202,0.0,61.5,,,,,,,
corpus_federal,federal,hybrid,rewriter,roundrobin,True,,gold,20,0.0216563541170871,0.6666666666666666,0.0,91,4202,0.0,61.5,,,,,,,
corpus_federal,federal,hybrid,rewriter,roundrobin,True,,gold,50,0.0414088529271775,0.8271604938271605,0.0,174,4202,0.0,61.5,,,,,,,
corpus_federal,federal,hybrid,rewriter,roundrobin,True,,gold,100,0.0594954783436458,0.9012345679012346,0.0,250,4202,0.0,61.5,,,,,,,
mode_fts,combined,fts,rewriter,roundrobin,True,,refex,5,0.007733491969066,0.1428571428571428,0.0,13,1681,0.0,26.1,,,,,,,
mode_fts,combined,fts,rewriter,roundrobin,True,,refex,10,0.0107079119571683,0.2077922077922078,0.0,18,1681,0.0,26.1,,,,,,,
mode_fts,combined,fts,rewriter,roundrobin,True,,refex,20,0.0237953599048185,0.3896103896103896,0.0,40,1681,0.0,26.1,,,,,,,
mode_fts,combined,fts,rewriter,roundrobin,True,,refex,50,0.0404521118381915,0.5324675324675324,0.0,68,1681,0.0,26.1,,,,,,,
mode_fts,combined,fts,rewriter,roundrobin,True,,refex,100,0.0588935157644259,0.6103896103896104,0.0,99,1681,0.0,26.1,,,,,,,
mode_fts,combined,fts,rewriter,roundrobin,True,,gold,5,0.0090433127082341,0.3333333333333333,0.011070110701107,38,4202,0.0,26.1,,,,,,,
mode_fts,combined,fts,rewriter,roundrobin,True,,gold,10,0.0145168967158495,0.4938271604938271,0.0178351783517835,61,4202,0.0,26.1,,,,,,,
mode_fts,combined,fts,rewriter,roundrobin,True,,gold,20,0.0240361732508329,0.6419753086419753,0.0252152521525215,101,4202,0.0,26.1,,,,,,,
mode_fts,combined,fts,rewriter,roundrobin,True,,gold,50,0.0395049976201808,0.7530864197530864,0.040590405904059,166,4202,0.0,26.1,,,,,,,
mode_fts,combined,fts,rewriter,roundrobin,True,,gold,100,0.0578296049500237,0.8271604938271605,0.0559655596555965,243,4202,0.0,26.1,,,,,,,
mode_vector,combined,vector,rewriter,roundrobin,True,,refex,5,0.0142772159428911,0.2857142857142857,0.0,24,1681,0.0,60.8,,,,,,,
mode_vector,combined,vector,rewriter,roundrobin,True,,refex,10,0.0255800118976799,0.4155844155844156,0.0,43,1681,0.0,60.8,,,,,,,
mode_vector,combined,vector,rewriter,roundrobin,True,,refex,20,0.0374776918500892,0.5324675324675324,0.0,63,1681,0.0,60.8,,,,,,,
mode_vector,combined,vector,rewriter,roundrobin,True,,refex,50,0.065437239738251,0.6363636363636364,0.0,110,1681,0.0,60.8,,,,,,,
mode_vector,combined,vector,rewriter,roundrobin,True,,refex,100,0.0969660916121356,0.7792207792207793,0.0,163,1681,0.0,60.8,,,,,,,
mode_vector,combined,vector,rewriter,roundrobin,True,,gold,5,0.0178486435030937,0.6419753086419753,0.0289052890528905,75,4202,0.0,60.8,,,,,,,
mode_vector,combined,vector,rewriter,roundrobin,True,,gold,10,0.0316515944788196,0.7777777777777778,0.047970479704797,133,4202,0.0,60.8,,,,,,,
mode_vector,combined,vector,rewriter,roundrobin,True,,gold,20,0.0454545454545454,0.8641975308641975,0.066420664206642,191,4202,0.0,60.8,,,,,,,
mode_vector,combined,vector,rewriter,roundrobin,True,,gold,50,0.0752022846263684,0.925925925925926,0.1008610086100861,316,4202,0.0,60.8,,,,,,,
mode_vector,combined,vector,rewriter,roundrobin,True,,gold,100,0.1099476439790576,0.9753086419753086,0.1414514145141451,462,4202,0.0,60.8,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,refex,5,0.0065437239738251,0.1298701298701298,0.0,11,1681,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,refex,10,0.0101130279595478,0.1948051948051948,0.0,17,1681,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,refex,20,0.0166567519333729,0.2727272727272727,0.0,28,1681,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,refex,50,0.023200475907198,0.3246753246753247,0.0,39,1681,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,refex,100,0.032123735871505,0.3636363636363636,0.0,54,1681,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,gold,5,0.0076154212279866,0.3086419753086419,0.011070110701107,32,4202,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,gold,10,0.0107091861018562,0.4074074074074074,0.0153751537515375,45,4202,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,gold,20,0.0161827701094716,0.4691358024691358,0.019680196801968,68,4202,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,gold,50,0.0230842455973346,0.5555555555555556,0.028290282902829,97,4202,0.0,52.0,,,,,,,
query_facts,combined,hybrid,facts,roundrobin,True,,gold,100,0.0297477391718229,0.6419753086419753,0.0362853628536285,125,4202,0.0,52.0,,,,,,,
