config,corpus,mode,query,merge,drop_structural,rerank,fusion_w,cite_filter,state_share,two_hop,gold_set,k,recall,cases_with_hit,state_recall,hits,gold,structural,seconds,ls_depth,ls_kinds
ls_only,combined,hybrid,rewriter,roundrobin,True,,,,,only,refex,5,0.0428316478286734,0.5324675324675324,0.0,72,1681,0.0,40.8,,
ls_only,combined,hybrid,rewriter,roundrobin,True,,,,,only,refex,10,0.0672218917311124,0.6753246753246753,0.0,113,1681,0.0,40.8,,
ls_only,combined,hybrid,rewriter,roundrobin,True,,,,,only,refex,20,0.1076740035693039,0.7792207792207793,0.0,181,1681,0.0,40.8,,
ls_only,combined,hybrid,rewriter,roundrobin,True,,,,,only,refex,50,0.1826293872694824,0.8311688311688312,0.0,307,1681,0.0,40.8,,
ls_only,combined,hybrid,rewriter,roundrobin,True,,,,,only,refex,100,0.2070196311719215,0.8571428571428571,0.0,348,1681,0.0,40.8,,
ls_only,combined,hybrid,rewriter,roundrobin,True,,,,,only,gold,5,0.0345073774393146,0.7901234567901234,0.020910209102091,145,4202,0.0,40.8,,
ls_only,combined,hybrid,rewriter,roundrobin,True,,,,,only,gold,10,0.0580675868633983,0.9012345679012346,0.041820418204182,244,4202,0.0,40.8,,
ls_only,combined,hybrid,rewriter,roundrobin,True,,,,,only,gold,20,0.0956687291765825,0.9876543209876544,0.0719557195571955,402,4202,0.0,40.8,,
ls_only,combined,hybrid,rewriter,roundrobin,True,,,,,only,gold,50,0.1770585435506901,1.0,0.1340713407134071,744,4202,0.0,40.8,,
ls_only,combined,hybrid,rewriter,roundrobin,True,,,,,only,gold,100,0.2063303188957639,1.0,0.1623616236162361,867,4202,0.0,40.8,,
ls_q_leitsatz,combined,hybrid,rw_leitsatz,roundrobin,True,,,,,only,refex,5,0.0285544318857822,0.4415584415584415,0.0,48,1681,0.0,31.5,,
ls_q_leitsatz,combined,hybrid,rw_leitsatz,roundrobin,True,,,,,only,refex,10,0.048780487804878,0.5324675324675324,0.0,82,1681,0.0,31.5,,
ls_q_leitsatz,combined,hybrid,rw_leitsatz,roundrobin,True,,,,,only,refex,20,0.0844735276621058,0.7142857142857143,0.0,142,1681,0.0,31.5,,
ls_q_leitsatz,combined,hybrid,rw_leitsatz,roundrobin,True,,,,,only,refex,50,0.1677572873289708,0.8181818181818182,0.0,282,1681,0.0,31.5,,
ls_q_leitsatz,combined,hybrid,rw_leitsatz,roundrobin,True,,,,,only,refex,100,0.189767995240928,0.8441558441558441,0.0,319,1681,0.0,31.5,,
