lawID,law_book,article,title,content,bookTitle,citations
236691,VwGO,§ 154,,"(1) Der unterliegende Teil trägt die Kosten des Verfahrens.
          (2) Die Kosten eines ohne Erfolg eingelegten Rechtsmittels fallen demjenigen zur Last, der das Rechtsmittel eingelegt hat.
          (3) Dem Beigeladenen können Kosten nur auferlegt werden, wenn er Anträge gestellt oder Rechtsmittel eingelegt hat; § 155 Abs. 4 bleibt unberührt.
          (4) Die Kosten des erfolgreichen Wiederaufnahmeverfahrens können der Staatskasse auferlegt werden, soweit sie nicht durch das Verschulden eines Beteiligten entstanden sind.
        ",Verwaltungsgerichtsordnung,33723
214969,ZPO,§ 708,Vorläufige Vollstreckbarkeit ohne Sicherheitsleistung,"
            Für vorläufig vollstreckbar ohne Sicherheitsleistung sind zu erklären: 
            
              1.
              
                Urteile, die auf Grund eines Anerkenntnisses oder eines Verzichts ergehen;
              
              2.
              
                Versäumnisurteile und Urteile nach Lage der Akten gegen die säumige Partei gemäß § 331a;
              
              3.
              
                Urteile, durch die gemäß § 341 der Einspruch als unzulässig verworfen wird;
              
              4.
              
                Urteile, die im Urkunden-, Wechsel- oder Scheckprozess erlassen werden;
              
              5.
              
                Urteile, die ein Vorbehaltsurteil, das im Urkunden-, Wechsel- oder Scheckprozess erlassen wurde, für vorbehaltlos erklären;
              
              6.
              
                Urteile, durch die Arreste oder einstweilige Verfügungen abgelehnt oder aufgehoben werden;
              
              7.
              
                Urteile in Streitigkeiten zwischen dem Vermieter und dem Mieter oder Untermieter von Wohnräumen oder anderen Räumen oder zwischen dem Mieter und dem Untermieter solcher Räume wegen Überlassung, Benutzung oder Räumung, wegen Fortsetzung des Mietverhältnisses über Wohnraum auf Grund der §§ 574 bis 574b des Bürgerlichen Gesetzbuchs sowie wegen Zurückhaltung der von dem Mieter oder dem Untermieter in die Mieträume eingebrachten Sachen;
              
              8.
              
                Urteile, die die Verpflichtung aussprechen, Unterhalt, Renten wegen Entziehung einer Unterhaltsforderung oder Renten wegen einer Verletzung des Körpers oder der Gesundheit zu entrichten, soweit sich die Verpflichtung auf die Zeit nach der Klageerhebung und auf das ihr vorausgehende letzte Vierteljahr bezieht;
              
              9.
              
                Urteile nach §§ 861, 862 des Bürgerlichen Gesetzbuchs auf Wiedereinräumung des Besitzes oder auf Beseitigung oder Unterlassung einer Besitzstörung;
              
              10.
              
                Berufungsurteile in vermögensrechtlichen Streitigkeiten. Wird die Berufung durch Urteil oder Beschluss gemäß § 522 Absatz 2 zurückgewiesen, ist auszusprechen, dass das angefochtene Urteil ohne Sicherheitsleistung vorläufig vollstreckbar ist;
              
              11.
              
                andere Urteile in vermögensrechtlichen Streitigkeiten, wenn der Gegenstand der Verurteilung in der Hauptsache 1.250 Euro nicht übersteigt oder wenn nur die Entscheidung über die Kosten vollstreckbar ist und eine Vollstreckung im Wert von nicht mehr als 1.500 Euro ermöglicht.
              
            
          
        ",Zivilprozessordnung,25177
214439,ZPO,§ 97,Rechtsmittelkosten,"(1) Die Kosten eines ohne Erfolg eingelegten Rechtsmittels fallen der Partei zur Last, die es eingelegt hat.
          (2) Die Kosten des Rechtsmittelverfahrens sind der obsiegenden Partei ganz oder teilweise aufzuerlegen, wenn sie auf Grund eines neuen Vorbringens obsiegt, das sie in einem früheren Rechtszug geltend zu machen imstande war.
          (3) (weggefallen)
        ",Zivilprozessordnung,19386
214972,ZPO,§ 711,Abwendungsbefugnis,"In den Fällen des § 708 Nr. 4 bis 11 hat das Gericht auszusprechen, dass der Schuldner die Vollstreckung durch Sicherheitsleistung oder Hinterlegung abwenden darf, wenn nicht der Gläubiger vor der Vollstreckung Sicherheit leistet. § 709 Satz 2 gilt entsprechend, für den Schuldner jedoch mit der Maßgabe, dass Sicherheit in einem bestimmten Verhältnis zur Höhe des auf Grund des Urteils vollstreckbaren Betrages zu leisten ist. Für den Gläubiger gilt § 710 entsprechend.
        ",Zivilprozessordnung,16497
214428,ZPO,§ 91,Grundsatz und Umfang der Kostenpflicht,"(1) Die unterliegende Partei hat die Kosten des Rechtsstreits zu tragen, insbesondere die dem Gegner erwachsenen Kosten zu erstatten, soweit sie zur zweckentsprechenden Rechtsverfolgung oder Rechtsverteidigung notwendig waren. Die Kostenerstattung umfasst auch die Entschädigung des Gegners für die durch notwendige Reisen oder durch die notwendige Wahrnehmung von Terminen entstandene Zeitversäumnis; die für die Entschädigung von Zeugen geltenden Vorschriften sind entsprechend anzuwenden.
          (2) Die gesetzlichen Gebühren und Auslagen des Rechtsanwalts der obsiegenden Partei sind in allen Prozessen zu erstatten, Reisekosten eines Rechtsanwalts, der nicht in dem Bezirk des Prozessgerichts niedergelassen ist und am Ort des Prozessgerichts auch nicht wohnt, jedoch nur insoweit, als die Zuziehung zur zweckentsprechenden Rechtsverfolgung oder Rechtsverteidigung notwendig war. Die Kosten mehrerer Rechtsanwälte sind nur insoweit zu erstatten, als sie die Kosten eines Rechtsanwalts nicht übersteigen oder als in der Person des Rechtsanwalts ein Wechsel eintreten musste. In eigener Sache sind dem Rechtsanwalt die Gebühren und Auslagen zu erstatten, die er als Gebühren und Auslagen eines bevollmächtigten Rechtsanwalts erstattet verlangen könnte.
          (3) Zu den Kosten des Rechtsstreits im Sinne der Absätze 1, 2 gehören auch die Gebühren, die durch ein Güteverfahren vor einer durch die Landesjustizverwaltung eingerichteten oder anerkannten Gütestelle entstanden sind; dies gilt nicht, wenn zwischen der Beendigung des Güteverfahrens und der Klageerhebung mehr als ein Jahr verstrichen ist.
          (4) Zu den Kosten des Rechtsstreits im Sinne von Absatz 1 gehören auch Kosten, die die obsiegende Partei der unterlegenen Partei im Verlaufe des Rechtsstreits gezahlt hat.
        ",Zivilprozessordnung,15287
236705,VwGO,§ 167,,"(1) Soweit sich aus diesem Gesetz nichts anderes ergibt, gilt für die Vollstreckung das Achte Buch der Zivilprozeßordnung entsprechend. Vollstreckungsgericht ist das Gericht des ersten Rechtszugs.
          (2) Urteile auf Anfechtungs- und Verpflichtungsklagen können nur wegen der Kosten für vorläufig vollstreckbar erklärt werden.
        ",Verwaltungsgerichtsordnung,14819
236645,VwGO,§ 113,,"(1) Soweit der Verwaltungsakt rechtswidrig und der Kläger dadurch in seinen Rechten verletzt ist, hebt das Gericht den Verwaltungsakt und den etwaigen Widerspruchsbescheid auf. Ist der Verwaltungsakt schon vollzogen, so kann das Gericht auf Antrag auch aussprechen, daß und wie die Verwaltungsbehörde die Vollziehung rückgängig zu machen hat. Dieser Ausspruch ist nur zulässig, wenn die Behörde dazu in der Lage und diese Frage spruchreif ist. Hat sich der Verwaltungsakt vorher durch Zurücknahme oder anders erledigt, so spricht das Gericht auf Antrag durch Urteil aus, daß der Verwaltungsakt rechtswidrig gewesen ist, wenn der Kläger ein berechtigtes Interesse an dieser Feststellung hat.
          (2) Begehrt der Kläger die Änderung eines Verwaltungsakts, der einen Geldbetrag festsetzt oder eine darauf bezogene Feststellung trifft, kann das Gericht den Betrag in anderer Höhe festsetzen oder die Feststellung durch eine andere ersetzen. Erfordert die Ermittlung des festzusetzenden oder festzustellenden Betrags einen nicht unerheblichen Aufwand, kann das Gericht die Änderung des Verwaltungsakts durch Angabe der zu Unrecht berücksichtigten oder nicht berücksichtigten tatsächlichen oder rechtlichen Verhältnisse so bestimmen, daß die Behörde den Betrag auf Grund der Entscheidung errechnen kann. Die Behörde teilt den Beteiligten das Ergebnis der Neuberechnung unverzüglich formlos mit; nach Rechtskraft der Entscheidung ist der Verwaltungsakt mit dem geänderten Inhalt neu bekanntzugeben.
          (3) Hält das Gericht eine weitere Sachaufklärung für erforderlich, kann es, ohne in der Sache selbst zu entscheiden, den Verwaltungsakt und den Widerspruchsbescheid aufheben, soweit nach Art oder Umfang die noch erforderlichen Ermittlungen erheblich sind und die Aufhebung auch unter Berücksichtigung der Belange der Beteiligten sachdienlich ist. Auf Antrag kann das Gericht bis zum Erlaß des neuen Verwaltungsakts eine einstweilige Regelung treffen, insbesondere bestimmen, daß Sicherheiten geleistet werden oder ganz oder zum Teil bestehen bleiben und Leistungen zunächst nicht zurückgewährt werden müssen. Der Beschluß kann jederzeit geändert oder aufgehoben werden. Eine Entscheidung nach Satz 1 kann nur binnen sechs Monaten seit Eingang der Akten der Behörde bei Gericht ergehen.
          (4) Kann neben der Aufhebung eines Verwaltungsakts eine Leistung verlangt werden, so ist im gleichen Verfahren auch die Verurteilung zur Leistung zulässig.
          (5) Soweit die Ablehnung oder Unterlassung des Verwaltungsakts rechtswidrig und der Kläger dadurch in seinen Rechten verletzt ist, spricht das Gericht die Verpflichtung der Verwaltungsbehörde aus, die beantragte Amtshandlung vorzunehmen, wenn die Sache spruchreif ist. Andernfalls spricht es die Verpflichtung aus, den Kläger unter Beachtung der Rechtsauffassung des Gerichts zu bescheiden.
        ",Verwaltungsgerichtsordnung,13045
216897,SGG,§ 193,,"(1) Das Gericht hat im Urteil zu entscheiden, ob und in welchem Umfang die Beteiligten einander Kosten zu erstatten haben. Ist ein Mahnverfahren vorausgegangen (§ 182a), entscheidet das Gericht auch, welcher Beteiligte die Gerichtskosten zu tragen hat. Das Gericht entscheidet auf Antrag durch Beschluß, wenn das Verfahren anders beendet wird.
          (2) Kosten sind die zur zweckentsprechenden Rechtsverfolgung oder Rechtsverteidigung notwendigen Aufwendungen der Beteiligten.
          (3) Die gesetzliche Vergütung eines Rechtsanwalts oder Rechtsbeistands ist stets erstattungsfähig.
          (4) Nicht erstattungsfähig sind die Aufwendungen der in § 184 Abs. 1 genannten Gebührenpflichtigen.
        ",Sozialgerichtsgesetz,10702
236668,VwGO,§ 132,,"(1) Gegen das Urteil des Oberverwaltungsgerichts (§ 49 Nr. 1) und gegen Beschlüsse nach § 47 Abs. 5 Satz 1 steht den Beteiligten die Revision an das Bundesverwaltungsgericht zu, wenn das Oberverwaltungsgericht oder auf Beschwerde gegen die Nichtzulassung das Bundesverwaltungsgericht sie zugelassen hat.
          
            (2) Die Revision ist nur zuzulassen, wenn 
            
              1.
              
                die Rechtssache grundsätzliche Bedeutung hat,
              
              2.
              
                das Urteil von einer Entscheidung des Bundesverwaltungsgerichts, des Gemeinsamen Senats der obersten Gerichtshöfe des Bundes oder des Bundesverfassungsgerichts abweicht und auf dieser Abweichung beruht oder
              
              3.
              
                ein Verfahrensmangel geltend gemacht wird und vorliegt, auf dem die Entscheidung beruhen kann.
              
            
          
          (3) Das Bundesverwaltungsgericht ist an die Zulassung gebunden.
        ",Verwaltungsgerichtsordnung,9572
236656,VwGO,§ 124,,"(1) Gegen Endurteile einschließlich der Teilurteile nach § 110 und gegen Zwischenurteile nach den §§ 109 und 111 steht den Beteiligten die Berufung zu, wenn sie von dem Verwaltungsgericht oder dem Oberverwaltungsgericht zugelassen wird.
          
            (2) Die Berufung ist nur zuzulassen, 
            
              1.
              
                wenn ernstliche Zweifel an der Richtigkeit des Urteils bestehen,
              
              2.
              
                wenn die Rechtssache besondere tatsächliche oder rechtliche Schwierigkeiten aufweist,
              
              3.
              
                wenn die Rechtssache grundsätzliche Bedeutung hat,
              
              4.
              
                wenn das Urteil von einer Entscheidung des Oberverwaltungsgerichts, des Bundesverwaltungsgerichts, des Gemeinsamen Senats der obersten Gerichtshöfe des Bundes oder des Bundesverfassungsgerichts abweicht und auf dieser Abweichung beruht oder
              
              5.
              
                wenn ein der Beurteilung des Berufungsgerichts unterliegender Verfahrensmangel geltend gemacht wird und vorliegt, auf dem die Entscheidung beruhen kann.
              
            
          
        ",Verwaltungsgerichtsordnung,9015
