model,published,n_pub,dual,n_dual,kept73,new27,n_new,delta,rank_pub,rank_dual,move
google/gemini-3.7-flash,72.39,99,74.92,99,71.42,84.23,27,2.53,2,1,1
anthropic/claude-opus-5,80.4,100,74.54,100,79.29,61.7,27,-5.86,1,2,-1
mistralai/mistral-large-2512,48.46,100,56.46,100,47.12,81.71,27,8.0,3,3,0
deepseek-ai/DeepSeek-V4-Flash-0731,42.45,100,50.82,100,42.06,74.5,27,8.38,4,4,0
qwen/qwen3.5-397b-a17b,33.38,100,40.74,100,30.55,68.29,27,7.36,6,5,1
mistralai/Mistral-Medium-3.5-128B,28.26,100,36.09,100,25.13,65.74,27,7.83,7,6,1
deepseek/deepseek-v3.2,28.01,100,33.84,100,25.4,56.66,27,5.83,8,7,1
deepseek-ai/DeepSeek-V4-Flash,33.69,100,32.53,73,32.53,,0,-1.15,5,8,-3
qwen/qwen3.5-122b-a10b,22.68,100,31.44,100,20.89,59.95,27,8.76,11,9,2
deepseek/deepseek-r1-0528,23.02,100,27.25,100,21.17,43.69,27,4.23,10,10,0
soofi-s-isar-preview,16.24,100,26.16,100,14.32,58.17,27,9.92,15,11,4
anthropic/claude-haiku-4.5,15.57,100,25.44,100,14.07,56.18,27,9.87,16,12,4
deepseek/deepseek-chat-v3-0324,22.39,100,25.0,100,21.6,34.21,27,2.61,12,13,-1
qwen/qwen3.6-35b-a3b,16.66,100,23.56,100,14.29,48.64,27,6.9,14,14,0
meta-llama/llama-4-maverick,26.78,100,23.11,100,24.51,19.3,27,-3.68,9,15,-6
openai/gpt-5-mini,13.18,100,21.74,100,11.27,50.06,27,8.57,20,16,4
google/gemini-2.5-flash-lite,16.91,100,21.09,100,15.01,37.54,27,4.18,13,17,-4
qwen/qwen3-235b-a22b-thinking-2507,13.9,100,20.05,100,12.91,39.33,27,6.15,19,18,1
RedHatAI/gemma-4-31B-it-FP8-block,14.48,100,18.53,100,13.85,31.2,27,4.05,18,19,-1
openai/gpt-oss-120b,12.4,100,18.36,100,10.93,38.44,27,5.96,24,20,4
openai/gpt-4o-mini-2024-07-18,12.87,100,16.53,100,11.62,29.8,27,3.66,21,21,0
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-FP8,11.86,100,15.49,100,11.77,25.55,27,3.63,26,22,4
meta-llama/llama-3.3-70b-instruct,12.57,100,14.52,100,11.99,21.37,27,1.95,22,23,-1
qwen3-next-80b-a3b-instruct,12.09,100,14.27,100,10.53,24.41,27,2.18,25,24,1
GaleneAI/Magistral-Small-2509-FP8-Dynamic,12.5,100,14.06,100,11.65,20.57,27,1.56,23,25,-2
openai/gpt-5-nano,10.41,100,14.06,100,9.12,27.44,27,3.65,27,25,2
windprak/open_steuerllm,15.24,100,14.01,73,14.01,,0,-1.23,17,27,-10
qwen/qwen3-32b,9.32,100,10.26,100,9.39,12.62,27,0.95,29,28,1
utter-project/EuroLLM-22B-Instruct-2512,9.77,100,9.86,73,9.86,,0,0.09,28,29,-1
mistralai/Ministral-3-14B-Reasoning-2512,9.16,100,9.28,73,9.28,,0,0.13,30,30,0
ibm-granite/granite-4.1-3b,7.74,100,7.8,100,7.58,8.37,27,0.05,32,31,1
Microsoft/Phi-4-mini-instruct,7.37,100,7.68,100,7.34,8.6,27,0.31,33,32,1
meta-llama/llama-3.1-8b-instruct,8.01,100,7.42,100,8.03,5.78,27,-0.58,31,33,-2
